,clones,len
177,"[10021167, 10024167, 10026167, 10028167]",4
178,"[10026167, 10027167, 10028167]",3
179,"[10026167, 10027167]",2
180,"[10003167, 10014167, 10029167]",3
181,"[10014167, 10029167]",2
182,"[10003167, 10029167]",2
183,"[10003119, 10008170]",2
184,"[10004171, 10005171, 10006171]",3
185,"[10000119, 10000170]",2
186,"[10002119, 10007170]",2
187,"[10011177, 10012177, 10014177, 10034177]",4
188,"[10026177, 10030177]",2
189,"[10000818, 10003178, 10036310]",3
190,"[10011178, 10017178]",2
191,"[10016178, 10018178, 10025178]",3
192,"[1000110, 1000210, 10001203, 10002203]",4
193,"[10001203, 10002203]",2
194,"[10002215, 10003217]",2
195,"[10003215, 10004217]",2
196,"[10001217, 10002217, 10006217, 10007217]",4
197,"[10004215, 10005217]",2
198,"[10005233, 10012233]",2
199,"[10002233, 10011233]",2
200,"[10006233, 10013233]",2
201,"[10000233, 10009233]",2
202,"[10004235, 10009235, 100001428, 100001430, 100051433, 100071434, 100091430]",7
203,"[10001233, 10010233]",2
204,"[1000251, 10002236, 10002274, 10008236]",4
205,"[10004422, 10010236, 10014236, 100011763, 100021423, 100062177]",6
206,"[10004422, 10010236, 100011763, 100021423, 100062177]",5
207,"[10010236, 10014236, 100021529, 100061423, 100091529]",5
208,"[10014246, 10015246]",2
209,"[10008246, 10016246, 100061527, 100081527, 100101527, 100111776, 100161438, 100171776, 100241438, 100241776, 100361438, 100381197]",12
210,"[10008246, 10016246, 100111776, 100161438, 100171776, 100241438, 100241776, 100361438]",8
211,"[10007246, 10017246, 100051527, 100101776, 100111527, 100151438, 100251776, 100261198, 100371438]",9
212,"[10001248, 10009248]",2
213,"[10002248, 10010248, 10012248]",3
214,"[10024248, 10028248]",2
215,"[10019248, 10021248]",2
216,"[10023248, 10027248]",2
217,"[10033248, 10034248]",2
218,"[10025248, 10029248]",2
219,"[10035248, 10043248]",2
220,"[10004994, 10011252, 10014252, 100431400]",4
221,"[10000264, 10002264, 10005264]",3
222,"[10010252, 10013252]",2
223,"[10001264, 10003264, 10006264]",3
224,"[10016267, 10023267]",2
225,"[10021267, 10022267]",2
226,"[10001273, 10007273, 10008273]",3
227,"[10003271, 10004271]",2
228,"[10001271, 10002271]",2
229,"[10000276, 10006274, 100011349]",3
230,"[10000290, 10002290]",2
231,"[10000291, 10000292, 10002296, 10003290]",4
232,"[10002291, 10002292, 10004296, 10005290]",4
233,"[10000296, 10001296]",2
234,"[10010300, 10011300, 10012300, 10013300, 10014300, 10015300, 10016300, 10017300, 10026310]",9
235,"[10003300, 10003680, 10003796, 10008680, 10008796, 10009300, 100021833, 100051833, 100061763, 100101423]",10
236,"[10018300, 10019300]",2
237,"[10008302, 10009302, 10010302, 10011302, 10012302]",5
238,"[10030302, 10032302, 10034302]",3
239,"[10037302, 10038302, 10039302, 10040302]",4
